symbol,isActive,isIndex
600586,TRUE,FALSE
600587,TRUE,FALSE
600588,TRUE,FALSE
600589,TRUE,FALSE
600590,TRUE,FALSE
600591,TRUE,FALSE
600592,TRUE,FALSE
600593,TRUE,FALSE
600594,TRUE,FALSE
600595,TRUE,FALSE
600596,TRUE,FALSE
600597,TRUE,FALSE
600598,TRUE,FALSE
600599,TRUE,FALSE
600600,TRUE,FALSE
600601,TRUE,FALSE
600602,TRUE,FALSE
600603,TRUE,FALSE
600604,TRUE,FALSE
600605,TRUE,FALSE
600606,TRUE,FALSE
600607,TRUE,FALSE
600608,TRUE,FALSE
600609,TRUE,FALSE
600610,TRUE,FALSE
600611,TRUE,FALSE
600612,TRUE,FALSE
600613,TRUE,FALSE
600614,TRUE,FALSE
600615,TRUE,FALSE
600616,TRUE,FALSE
600617,TRUE,FALSE
600618,TRUE,FALSE
600619,TRUE,FALSE
600620,TRUE,FALSE
600621,TRUE,FALSE
600622,TRUE,FALSE
600623,TRUE,FALSE
600624,TRUE,FALSE
600625,TRUE,FALSE
600626,TRUE,FALSE
600627,TRUE,FALSE
600628,TRUE,FALSE
600629,TRUE,FALSE
600630,TRUE,FALSE
600631,TRUE,FALSE
600632,TRUE,FALSE
600633,TRUE,FALSE
600634,TRUE,FALSE
600635,TRUE,FALSE
600636,TRUE,FALSE
600637,TRUE,FALSE
600638,TRUE,FALSE
600639,TRUE,FALSE
600640,TRUE,FALSE
600641,TRUE,FALSE
600642,TRUE,FALSE
600643,TRUE,FALSE
600644,TRUE,FALSE
600645,TRUE,FALSE
600646,TRUE,FALSE
600647,TRUE,FALSE
600648,TRUE,FALSE
600649,TRUE,FALSE
600650,TRUE,FALSE
600651,TRUE,FALSE
600652,TRUE,FALSE
600653,TRUE,FALSE
600654,TRUE,FALSE
600655,TRUE,FALSE
600656,TRUE,FALSE
600657,TRUE,FALSE
600658,TRUE,FALSE
600659,TRUE,FALSE
600660,TRUE,FALSE
600661,TRUE,FALSE
600662,TRUE,FALSE
600663,TRUE,FALSE
600664,TRUE,FALSE
600665,TRUE,FALSE
600666,TRUE,FALSE
600667,TRUE,FALSE
600668,TRUE,FALSE
600669,TRUE,FALSE
600670,TRUE,FALSE
600671,TRUE,FALSE
600672,TRUE,FALSE
600673,TRUE,FALSE
600674,TRUE,FALSE
600675,TRUE,FALSE
600676,TRUE,FALSE
600677,TRUE,FALSE
